primaryLanguage,description,hasWikiEnabled,stargazerCount,pull_request_files,issue_files,nameWithOwner,owner,issue_files_to_str,pull_request_files_to_str
JavaScript,The library for web and native user interfaces,True,206947,['PULL_REQUEST_TEMPLATE.md'],['bug_report.md'],facebook/react,facebook,,
None,A book series on JavaScript. @YDKJS on twitter.,False,167317,['PULL_REQUEST_TEMPLATE.md'],"['content-question.md', 'foreign-translation-request.md', 'report-technical-mistake.md', 'textual-grammar-typo.md']",getify/You-Dont-Know-JS,getify,,
Python,"A curated list of awesome Python frameworks, libraries, software and resources",False,166832,['PULL_REQUEST_TEMPLATE.md'],['add-xxx.md'],vinta/awesome-python,vinta,,
Dart,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,True,152884,['PULL_REQUEST_TEMPLATE.md'],"['4_performance_others.md', '5_performance_speed.md', '6_infrastructure.md']",flutter/flutter,flutter,,
TypeScript,Visual Studio Code,True,145835,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",microsoft/vscode,microsoft,,
None,:mortar_board: Path to a free self-taught education in Computer Science!,True,138772,['project_pr.md'],['request-for-comment-template.md'],ossu/computer-science,ossu,,
Python,Command-line program to download videos from YouTube.com and other video sites,False,120085,['PULL_REQUEST_TEMPLATE.md'],"['1_broken_site.md', '2_site_support_request.md', '3_site_feature_request.md', '4_bug_report.md', '5_feature_request.md', '6_question.md']",ytdl-org/youtube-dl,ytdl-org,,
Markdown,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",True,115851,['PULL_REQUEST_TEMPLATE.md'],"['others.md', 'translate.md']",labuladong/fucking-algorithm,labuladong,,
Go,The Go programming language,True,111034,['PULL_REQUEST_TEMPLATE'],"['00-bug.md', '01-pkgsite.md', '02-pkgsite-removal.md', '03-gopls.md', '04-vuln.md', '10-proposal.md', '11-language-change.md']",golang/go,golang,,
None,Curated list of project-based tutorials,True,101203,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md']",practical-tutorials/project-based-learning,practical-tutorials,,
JavaScript,Set up a modern web app by running one command.,False,99660,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'proposal.md', 'question.md']",facebook/create-react-app,facebook,,
Python,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",True,98036,['PULL_REQUEST_TEMPLATE.md'],['i18n.md'],huggingface/transformers,huggingface,,
TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,True,90975,['pull_request_template.md'],"['Bug_report.md', 'Feature_request.md', 'lib_change.md', 'types-not-correct-in-with-callback.md']",microsoft/TypeScript,microsoft,,
C++,"The new Windows Terminal and the original Windows console host, all in the same place!",True,88632,['PULL_REQUEST_TEMPLATE.md'],"['Documentation_Issue.md', 'Feature_Request.md']",microsoft/terminal,microsoft,,
Jupyter Notebook,Models and examples built with TensorFlow,True,75731,['PULL_REQUEST_TEMPLATE.md'],"['00-official-bug-report-issue.md', '10-official-documentation-issue.md', '20-official-feature-request-issue.md', '30-research-bug-report-issue.md', '40-research-documentation-issue.md', '50-research-feature-request-issue.md', '60-questions-help-issue.md']",tensorflow/models,tensorflow,,
JavaScript,"24 Lessons, 12 Weeks, Get Started as a Web Developer",True,69309,"['translation_checklist.md', 'translation_checklist.pt.md']","['bug_report.md', 'feature_request.md', 'translations_checklist.md']",microsoft/Web-Dev-For-Beginners,microsoft,,
Python,Tensors and Dynamic neural networks in Python with strong GPU acceleration,True,66382,['PULL_REQUEST_TEMPLATE.md'],"['ci-sev.md', 'disable-ci-jobs.md']",pytorch/pytorch,pytorch,,
Rust,"Build smaller, faster, and more secure desktop applications with a web frontend.",False,63142,['PULL_REQUEST_TEMPLATE.md'],['docs_report.md'],tauri-apps/tauri,tauri-apps,,
JavaScript,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",True,63033,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'Other.md']",webpack/webpack,webpack,,
Python,The Python micro framework for building web applications.,False,62842,['pull_request_template.md'],"['bug-report.md', 'feature-request.md']",pallets/flask,pallets,,
C++,The Swift Programming Language,False,62569,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",apple/swift,apple,,
JavaScript," Now we have become very big, Different from the original idea. Collect premium software in various categories.",True,60335,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'NEW_ADDITION_TO_LIST.md', 'REMOVE_ITEM_FROM_LIST.md']",jaywcjlove/awesome-mac,jaywcjlove,,
TypeScript,VS Code in the browser,False,60223,"['PULL_REQUEST_TEMPLATE.md', 'release_template.md']","['doc.md', 'feature-request.md']",coder/code-server,coder,,
TypeScript,Predictable state container for JavaScript apps,False,59543,"['PULL_REQUEST_TEMPLATE.md', 'bugfix.md', 'documentation-edit.md', 'documentation-new.md']","['Bug_report.md', 'Feature_request.md', 'documentation-edit.md', 'documentation-new.md']",reduxjs/redux,reduxjs,,
JavaScript,:atom: The hackable text editor,False,59368,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",atom/atom,atom,,
TypeScript,Realtime application framework (Node.JS server),False,58173,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",socketio/socket.io,socketio,,
C#,A C# port of shadowsocks,True,56450,['PULL_REQUEST_TEMPLATE.md'],"['bug_report_en.md', 'bug_report_zh.md', 'feature_request.md']",shadowsocks/shadowsocks-windows,shadowsocks,,
TypeScript,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",False,55226,['PULL_REQUEST_TEMPLATE.md'],"['1-staff_issues.md', '2-accessibility.md', '3-grafana_ui_component.md', '5-chore.md']",grafana/grafana,grafana,,
